"chr"	"start"	"end"	"width"	"strand"	"Length"	"ensemblID"	"EntrezID"	"Symbol"	"meanExprs"	"logFC_habenula"	"t_habenula"	"P.Value_habenula"	"adj.P.Val_habenula"	"logFC_amygdala"	"t_amygdala"	"P.Value_amygdala"	"adj.P.Val_amygdala"	"gene_description"	"associated_phenotypes"
"20"	23623560	25199978	1576419	"-"	4443	"ENSRNOG00000000373"	NA	"AABR07044900.1"	4.8900432682886	-0.323400703748131	-3.94871124479592	0.00111080203945518	0.0454884325372971	-0.910747340373902	-4.00573910421503	0.00113663742958677	0.0152526195454336	"catenin alpha 3 [Source:RGD Symbol;Acc:1562230]"	"asthma; dilated cardiomyopathy; Long QT Syndrome; Dilated Cardiomyopathy with Left Ventricular Noncompaction; genetic disease; familial hypertrophic cardiomyopathy; arrhythmogenic right ventricular dysplasia 13; Syncope; substance-related disorder; urinary bladder cancer"
"12"	5390922	5410224	19303	"+"	5061	"ENSRNOG00000000902"	"288444"	"Hsph1"	63.5481535995913	0.552103520487866	4.60506685915552	0.000278709482627462	0.031627115193523	0.252796035749771	3.97604757286808	0.00120758352761756	0.0156770051122254	"heat shock protein family H (Hsp110) member 1 [Source:RGD Symbol;Acc:1311609]"	"human immunodeficiency virus infectious disease; genetic disease"
"20"	12874854	12882599	7746	"+"	2451	"ENSRNOG00000001242"	"499422"	"Gstt3"	12.4815861882076	-0.377972624937228	-4.04307685286524	0.000909084805115164	0.042586269686185	-0.400945849141051	-3.11838241566437	0.00701684534188422	0.0424773376710875	"glutathione S-transferase, theta 3 [Source:RGD Symbol;Acc:1562732]"	""
"11"	83872659	83874902	2244	"+"	1064	"ENSRNOG00000001859"	"680945"	"Sdf2l1"	7.31025667742958	0.770386512740724	3.87935753297762	0.0012873459327639	0.0485529928772444	0.707778226779285	4.8297682096158	0.000217952016221154	0.00717342988665346	"stromal cell-derived factor 2-like 1 [Source:RGD Symbol;Acc:1585844]"	"genetic disease; type 2 diabetes mellitus; Spontaneous Abortions; chromosome 22q11.2 deletion syndrome, distal; Prostatic Neoplasms; Crohn's disease; DiGeorge Syndrome"
"11"	30804837	30837661	32825	"-"	2283	"ENSRNOG00000002028"	"360698"	"Tmem50b"	43.8534412933044	0.404802769165331	4.28512719317566	0.000544850460518829	0.0364134459773944	0.378207082100252	4.52194881927579	0.000400906327820352	0.00926296798035296	"transmembrane protein 50B [Source:RGD Symbol;Acc:1307561]"	"Parkinson's disease 20; genetic disease; IMMUNODEFICIENCY 28; autosomal dominant intellectual developmental disorder 7; Interferon Gamma, Receptor 1, Deficiency; ZTTK SYNDROME; amyotrophic lateral sclerosis type 1"
"10"	97806485	97811994	5510	"+"	4034	"ENSRNOG00000002607"	"140586"	"Sox9"	12.829500139713	-0.399606603878877	-4.12436829885088	0.00076519973157313	0.0410050577189772	-0.599865520468672	-3.76965231563671	0.00184190435718974	0.0197522682533054	"SRY-box transcription factor 9 [Source:RGD Symbol;Acc:620474]"	"Stomach Neoplasms; Campomelic Dysplasia; 46,XY SEX REVERSAL 10; genetic disease; lung carcinoma; Congenital Hand Deformities; Bone Fractures; Autism Spectrum Disorder; nonsyndromic congenital nail disorder 4; Neoplasm Metastasis; Neoplasm Invasiveness; lung cancer; Weissenbacher-Zweymuller syndrome; Bent Bone Dysplasia Syndrome; Animal Mammary Neoplasms; connective tissue disease; colorectal cancer; Carcinoma; prostate cancer; 46,XX Sex Reversal 2; Lung Neoplasms; Craniofacial Abnormalities; Experimental Mammary Neoplasms; Campomelic Dysplasia with Autosomal Sex Reversal"
"13"	30776682	30952170	175489	"-"	5950	"ENSRNOG00000002625"	"246116"	"Ptpn4"	43.1844706650822	0.828042957174927	4.93123199816848	0.000142074378640841	0.0258019425905563	0.198874700658155	3.50527875349253	0.00317015526838512	0.0265764948440435	"protein tyrosine phosphatase, non-receptor type 4 [Source:RGD Symbol;Acc:620712]"	"Intellectual Disability; Neurodevelopmental Disorders; genetic disease; Autistic Disorder"
"13"	92069216	92162004	92789	"+"	3934	"ENSRNOG00000002969"	"54260"	"Itpkb"	12.9650202117771	-0.464774809135497	-4.80019131298449	0.000186005710194358	0.027059154064138	-0.745971947824632	-6.00431012485907	2.36898926426406e-05	0.00324435021535442	"inositol-trisphosphate 3-kinase B [Source:RGD Symbol;Acc:2932]"	"parathyroid carcinoma; myeloproliferative neoplasm; genetic disease; gastrointestinal stromal tumor"
"10"	1988136	2007649	19514	"-"	4149	"ENSRNOG00000003285"	"100362572"	"Mpv17l"	9.24241801924127	0.403451790189022	4.0399579725148	0.000915120312244437	0.0425900562032871	0.259052421355916	3.66402962622057	0.0022876698716385	0.0225102568409013	"MPV17 mitochondrial inner membrane protein like [Source:RGD Symbol;Acc:2324483]"	"genetic disease; intestinal volvulus; familial thoracic aortic aneurysm 4; Epilepsy; Autistic Disorder; Schizophrenia; Volvulus Of Midgut"
"X"	13327892	13337139	9248	"+"	2115	"ENSRNOG00000003611"	"363448"	"Dynlt3"	50.0449252134759	0.397951259025	4.24701556105061	0.000590447049953739	0.0375102255156923	0.428930478989393	3.71053377373614	0.00207937063534854	0.0212230449452678	"dynein light chain Tctex-type 3 [Source:RGD Symbol;Acc:1549755]"	"Retinitis Pigmentosa 3; primary ciliary dyskinesia; ornithine carbamoyltransferase deficiency; X-Linked Chronic Granulomatous Disease; Neurodevelopmental Disorders; syndromic X-linked intellectual disability Lubs type; Autistic Disorder; genetic disease"
